序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'1,SH600519.贵州茅台,'9204,'1423.88,'-0.27%,5.80%,'20.09,'6.92,3.62%,35.74%,'17886.75,'-4.74%,酿酒行业
'2,SH600036.招商银行,'7899,'45.12,'-0.29%,6.62%,'7.73,'0.91,4.43%,12.48%,'9307.78,'+19.78%,银行
'3,SH600887.伊利股份,'7367,'27.57,'+0.07%,10.60%,'25.23,'2.99,4.43%,12.61%,'1743.90,'-4.80%,食品饮料
'4,SZ000858.五粮液,'7031,'122.16,'+0.17%,3.08%,'14.54,'3.20,4.71%,22.39%,'4733.62,'-8.71%,酿酒行业
'5,SH600900.长江电力,'6446,'27.97,'-0.46%,6.19%,'20.27,'3.17,3.37%,16.00%,'6843.76,'-2.27%,电力行业
'6,SZ000333.美的集团,'6121,'71.70,'+0.45%,14.64%,'13.96,'2.38,4.91%,20.86%,'5013.70,'-0.07%,家电行业
'7,SZ000651.格力电器,'5921,'46.90,'+0.39%,6.82%,'8.36,'1.83,2.14%,25.25%,'2616.98,'+5.43%,家电行业
'8,SH601318.中国平安,'5573,'59.06,'-0.14%,5.94%,'9.69,'1.14,4.32%,12.68%,'6356.43,'+15.43%,保险
'9,SZ300750.宁德时代,'5130,'265.00,'-0.26%,13.78%,'23.24,'4.11,2.18%,23.77%,'11699.82,'+2.10%,电池
'10,SH601088.中国神华,'4813,'37.56,'-1.57%,1.04%,'13.48,'1.72,6.02%,12.74%,'6194.03,'-8.58%,煤炭行业
'11,SH601012.隆基绿能,'4805,'15.94,'+0.13%,5.62%,'-1.00,'2.03,1.07%,'-1.00%,'1207.94,'+1.46%,光伏设备
'12,SH603259.药明康德,'4772,'93.58,'+0.31%,12.13%,'24.09,'4.49,1.43%,24.03%,'2325.59,'+73.71%,医疗服务
'13,SZ002594.比亚迪,'4727,'104.35,'-0.49%,7.07%,'23.09,'4.10,1.26%,23.82%,'5697.88,'+12.07%,汽车整车
'14,SZ002415.海康威视,'4348,'29.28,'-0.17%,0.44%,'22.45,'3.45,2.39%,16.51%,'2708.10,'-2.26%,计算机设备
'15,SZ000568.泸州老窖,'4285,'127.58,'+0.45%,2.22%,'13.91,'3.73,1.07%,27.99%,'1869.53,'+3.10%,酿酒行业
'16,SZ300760.迈瑞医疗,'3996,'228.31,'+0.12%,10.84%,'25.28,'7.16,3.37%,29.79%,'2764.73,'-9.69%,医疗器械
'17,SH601398.工商银行,'3936,'7.76,0.00%,0.92%,'7.66,'0.69,3.97%,9.18%,'20921.91,'+16.98%,银行
'18,SH600276.恒瑞医药,'3810,'61.58,'-1.16%,8.39%,'61.92,'8.70,0.32%,15.40%,'3928.19,'+34.64%,化学制药
'19,SH603288.海天味业,'3782,'38.35,'-0.13%,3.52%,'35.31,'6.78,2.24%,20.94%,'2132.49,'-14.79%,食品饮料
'20,SZ300059.东方财富,'3649,'23.63,0.00%,3.06%,'37.29,'4.48,0.25%,13.23%,'3734.49,'-8.21%,互联网服务
'21,SH600436.片仔癀,'3582,'201.51,'-0.03%,3.19%,'39.75,'7.97,1.47%,20.29%,'1215.74,'-5.21%,中药
'22,SH601919.中远海控,'3537,'15.63,'+1.10%,3.50%,'4.49,'0.99,9.96%,24.18%,'1970.93,'+7.69%,航运港口
'23,SH600938.中国海油,'3514,'26.01,'-0.08%,1.99%,'9.44,'1.58,4.93%,18.09%,'777.70,'-9.85%,石油行业
'24,SH601899.紫金矿业,'3472,'20.16,'+1.46%,7.72%,'15.16,'3.67,1.88%,27.38%,'4150.69,'+35.27%,有色金属
'25,SZ002304.洋河股份,'3413,'68.80,'+0.06%,1.36%,'23.53,'2.00,6.76%,7.76%,'1035.83,'-12.15%,酿酒行业
'26,SH601888.中国中免,'3403,'64.86,'-0.03%,4.23%,'35.49,'2.36,1.62%,6.89%,'1266.38,'-1.51%,旅游酒店
'27,SH600809.山西汾酒,'3168,'182.10,'+0.45%,4.02%,'17.57,'5.79,3.33%,34.84%,'2221.55,'+2.34%,酿酒行业
'28,SZ000538.云南白药,'3159,'55.96,'-0.39%,3.98%,'21.24,'2.46,4.27%,12.10%,'1002.40,'-4.70%,中药
'29,SZ002475.立讯精密,'3020,'36.21,'-0.71%,4.73%,'22.19,'3.65,0.55%,21.20%,'2644.81,'-10.66%,消费电子
'30,SZ300015.爱尔眼科,'2938,'12.82,'-0.31%,2.07%,'36.17,'5.49,1.24%,17.85%,'1199.25,'-1.99%,医疗服务
'31,SH600309.万华化学,'2929,'61.08,'+0.15%,4.33%,'15.58,'1.94,2.05%,12.54%,'1912.09,'-13.25%,化学制品
'32,SZ000895.双汇发展,'2918,'24.95,'-0.12%,1.81%,'18.70,'3.89,5.64%,21.88%,'865.47,'-1.12%,食品饮料
'33,SH600941.中国移动,'2891,'108.27,'-0.73%,4.09%,'18.64,'1.68,4.31%,10.22%,'977.43,'-6.56%,通信服务
'34,SH600438.通威股份,'2885,'20.42,'-0.63%,3.65%,'-1.00,'1.98,4.43%,'-1.00%,'919.31,'-7.64%,光伏设备
'35,SH601288.农业银行,'2871,'6.62,'+1.22%,0.96%,'8.18,'0.74,3.65%,9.26%,'21133.97,'+29.36%,银行
'36,SH603605.珀莱雅,'2864,'82.39,'-0.12%,11.99%,'20.30,'5.63,1.44%,31.86%,'326.47,'-1.32%,美容护理
'37,SZ000002.万科Ａ,'2854,'6.44,'-0.15%,1.59%,'-1.00,'0.39,0.00%,'-1.00%,'627.21,'-11.29%,房地产开发
'38,SZ002027.分众传媒,'2849,'7.80,'-2.62%,5.03%,'24.56,'6.36,1.25%,28.45%,'1156.82,'+10.95%,文化传媒
'39,SZ002714.牧原股份,'2826,'46.77,'+1.10%,2.72%,'9.85,'3.31,3.05%,36.00%,'2527.08,'+23.33%,农牧饲渔
'40,SH601225.陕西煤业,'2797,'21.43,'+5.62%,2.48%,'10.20,'2.15,6.29%,23.53%,'2077.64,'-2.07%,煤炭行业
'41,SH600690.海尔智家,'2763,'25.23,'+0.80%,7.19%,'12.78,'2.01,3.82%,17.29%,'1578.01,'-8.18%,家电行业
'42,SZ000661.长春高新,'2688,'103.80,'-1.30%,2.07%,'17.33,'1.83,2.47%,9.49%,'429.03,'+6.90%,生物制品
'44,SH600660.福耀玻璃,'2606,'55.56,'-0.41%,18.64%,'18.32,'3.84,3.24%,23.06%,'1112.86,'-8.12%,玻璃玻纤
'43,SH600085.同仁堂,'2601,'36.68,'-0.68%,2.66%,'33.73,'3.65,2.73%,11.21%,'503.06,'-8.38%,中药
'45,SH600132.重庆啤酒,'2597,'55.36,'+0.02%,6.24%,'21.56,'16.17,4.34%,53.44%,'267.93,'-10.71%,酿酒行业
'46,SZ002371.北方华创,'2535,'331.58,'+0.94%,10.19%,'39.07,'7.26,0.24%,20.86%,'2370.47,'+14.76%,半导体
'47,SZ000001.平安银行,'2499,'12.46,'-0.08%,4.27%,'5.50,'0.48,4.88%,8.81%,'2419.92,'+9.85%,银行
'48,SH601939.建设银行,'2476,'9.58,'-0.62%,3.68%,'7.56,'0.74,1.91%,10.02%,'2029.34,'+14.02%,银行
'49,SH600030.中信证券,'2472,'29.16,'-0.07%,4.79%,'18.71,'1.43,2.45%,7.99%,'3557.66,'-0.03%,证券
'50,SZ300274.阳光电源,'2455,'76.90,'+1.98%,4.20%,'12.73,'3.83,1.43%,36.17%,'1563.41,'+5.92%,光伏设备
'51,SH688981.中芯国际,'2444,'90.78,'+0.87%,3.19%,'227.05,'4.85,0.00%,3.11%,'1805.03,'-4.06%,半导体
'52,SZ300124.汇川技术,'2441,'65.86,'+1.62%,17.60%,'39.01,'5.91,0.63%,17.48%,'1746.86,'+13.14%,电子元件
'53,SZ002230.科大讯飞,'2418,'49.04,'+0.16%,2.71%,'282.34,'6.33,0.20%,3.86%,'1131.80,'+1.71%,软件开发
'54,SH601988.中国银行,'2409,'5.66,'+0.18%,0.69%,'7.74,'0.65,3.78%,8.62%,'13504.20,'+7.35%,银行
'55,SZ000063.中兴通讯,'2397,'34.55,'+0.38%,2.19%,'30.01,'2.28,1.79%,11.37%,'1386.45,'-12.81%,通信设备
